id,text,label,cleaned,predicted_label
1,Amazing work bro 😭🔥 loved this!,praise,amazing work bro loved this,praise
2,This is sooo good omg,praise,this is sooo good omg,praise
3,"Beautiful animation, keep shining!",praise,beautiful animation keep shining,praise
4,Love the vibe of this video!,praise,love the vibe of this video,praise
5,Your content always hits different!,praise,your content always hits different,praise
6,"Keep going, you're improving every day 🤍",support,keep going youre improving every day,support
7,"Don’t stop, rooting for you!",support,dont stop rooting for you,support
8,"You're doing great, trust the process.",support,youre doing great trust the process,constructive
9,Proud of you for posting this!,support,proud of you for posting this,support
10,"You got this, waiting for more!",support,you got this waiting for more,question
11,Nice attempt but the audio timing feels a bit off.,constructive,nice attempt but the audio timing feels a bit off,constructive
12,"Good idea, but the background music is too loud.",constructive,good idea but the background music is too loud,constructive
13,"Love the edit, but transitions could be smoother.",constructive,love the edit but transitions could be smoother,constructive
14,"Concept is strong, maybe add clearer voiceover?",constructive,concept is strong maybe add clearer voiceover,constructive
15,"The pacing was fine, but visuals felt rushed at the end.",constructive,the pacing was fine but visuals felt rushed at the end,constructive
16,This is trash lol,hate,this is trash lol,hate
17,Worst edit I’ve seen today 💀,hate,worst edit ive seen today,praise
18,"Bro stop posting, it's embarrassing",hate,bro stop posting its embarrassing,hate
19,LOL what is this nonsense,hate,lol what is this nonsense,hate
20,Such low-effort garbage omg,hate,such loweffort garbage omg,hate
21,If you post this again I’ll report your page.,threat,if you post this again ill report your page,threat
22,Delete this or you’ll regret it. Not joking.,threat,delete this or youll regret it not joking,threat
23,I swear I'll take this down myself.,threat,i swear ill take this down myself,threat
24,I’m gonna complain about this officially.,threat,im gonna complain about this officially,threat
25,You better watch out with this kind of post.,threat,you better watch out with this kind of post,threat
26,This reminded me of my school days 😭,emotional,this reminded me of my school days,emotional
27,Damn this hit my heart man omg,emotional,damn this hit my heart man omg,emotional
28,Feeling nostalgic fr fr,emotional,feeling nostalgic fr fr,emotional
29,I miss those times… thanks for this 🥺,emotional,i miss those times thanks for this,spam
30,This gave me goosebumps.,emotional,this gave me goosebumps,emotional
31,Follow me for free followers!!,spam,follow me for free followers,spam
32,Get 10k followers in 2 mins: www.fakepromo.com,spam,get 10k followers in 2 mins,spam
33,DM me for promo deals!!🔥,spam,dm me for promo deals,spam
34,Click here to win an iPhone 👉 spamlink.com,spam,click here to win an iphone spamlinkcom,spam
35,Join my telegram for crypto signals!!,spam,join my telegram for crypto signals,spam
36,Can you make one on study motivation?,question,can you make one on study motivation,question
37,How did you edit the text effect?,question,how did you edit the text effect,question
38,What app do you use for animations?,question,what app do you use for animations,question
39,Can you try a darker theme next time?,question,can you try a darker theme next time,question
40,Will you do a tutorial on this?,question,will you do a tutorial on this,question
41,"The lighting was nice, but the color grading felt heavy.",constructive,the lighting was nice but the color grading felt heavy,constructive
42,Good attempt but the subtitles were too fast.,constructive,good attempt but the subtitles were too fast,constructive
43,The message is sweet but maybe shorten the intro?,constructive,the message is sweet but maybe shorten the intro,constructive
44,"Love the song choice, but it's slightly loud.",constructive,love the song choice but its slightly loud,constructive
45,Visuals were good but the pacing needs work.,constructive,visuals were good but the pacing needs work,constructive
46,Amazing transition work 🔥🔥🔥,praise,amazing transition work,praise
47,Broooo this looks so clean omg,praise,broooo this looks so clean omg,praise
48,You executed this so well!,praise,you executed this so well,praise
49,This feels so warm and wholesome 😭,praise,this feels so warm and wholesome,emotional
50,Loving your consistency ❤️,support,loving your consistency,support
51,You’re getting better with every post!,support,youre getting better with every post,threat
52,"Keep posting, don’t stop!",support,keep posting dont stop,support
53,We believe in you always!,support,we believe in you always,question
54,The idea is nice but the ending felt rushed.,constructive,the idea is nice but the ending felt rushed,constructive
55,"Maybe reduce the text speed, it's too fast.",constructive,maybe reduce the text speed its too fast,constructive
56,Transitions were decent but could be smoother.,constructive,transitions were decent but could be smoother,constructive
