id,text,label,emotion,structure
1,Amazing work bro 😭🔥 loved this!,praise,Praise,aggressive
2,This is sooo good omg,praise,Neutral / Other,neutral
3,"Beautiful animation, keep shining!",praise,Praise,aggressive
4,Love the vibe of this video!,praise,Praise,aggressive
5,Your content always hits different!,praise,Neutral / Other,aggressive
6,"Keep going, you're improving every day 🤍",support,Support,neutral
7,"Don’t stop, rooting for you!",support,Neutral / Other,aggressive
8,"You're doing great, trust the process.",support,Praise,neutral
9,Proud of you for posting this!,support,Support,aggressive
10,"You got this, waiting for more!",support,Neutral / Other,aggressive
11,Nice attempt but the audio timing feels a bit off.,constructive,Praise,emotional
12,"Good idea, but the background music is too loud.",constructive,Neutral / Other,neutral
13,"Love the edit, but transitions could be smoother.",constructive,Praise,neutral
14,"Concept is strong, maybe add clearer voiceover?",constructive,Question,neutral
15,"The pacing was fine, but visuals felt rushed at the end.",constructive,Neutral / Other,neutral
16,This is trash lol,hate,Hate,neutral
17,Worst edit I’ve seen today 💀,hate,Neutral / Other,neutral
18,"Bro stop posting, it's embarrassing",hate,Neutral / Other,neutral
19,LOL what is this nonsense,hate,Neutral / Other,neutral
20,Such low-effort garbage omg,hate,Neutral / Other,neutral
21,If you post this again I’ll report your page.,threat,Threat,neutral
22,Delete this or you’ll regret it. Not joking.,threat,Neutral / Other,neutral
23,I swear I'll take this down myself.,threat,Threat,neutral
24,I’m gonna complain about this officially.,threat,Neutral / Other,neutral
25,You better watch out with this kind of post.,threat,Threat,neutral
26,This reminded me of my school days 😭,emotional,Emotional,neutral
27,Damn this hit my heart man omg,emotional,Emotional,emotional
28,Feeling nostalgic fr fr,emotional,Neutral / Other,neutral
29,I miss those times… thanks for this 🥺,emotional,Neutral / Other,neutral
30,This gave me goosebumps.,emotional,Neutral / Other,neutral
31,Follow me for free followers!!,spam,Spam,aggressive
32,Get 10k followers in 2 mins: www.fakepromo.com,spam,Spam,neutral
33,DM me for promo deals!!🔥,spam,Spam,aggressive
34,Click here to win an iPhone 👉 spamlink.com,spam,Spam,emotional
35,Join my telegram for crypto signals!!,spam,Neutral / Other,aggressive
36,Can you make one on study motivation?,question,Question,neutral
